row_number,level,reason,raw
330,error,codebarre vacio,"{'Articulo': 'Audifono SUPERB  NIA    NIA - X3  Pza.', 'cantidad': '3', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '130'}"
374,error,codebarre vacio,"{'Articulo': 'CABLE V3 GENERICO       PARA DATOS  Pza.', 'cantidad': '20', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '25'}"
377,error,codebarre vacio,"{'Articulo': 'CABLE ADAPTADOR IPHONE AUXILIAR      GENERICO  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '25'}"
378,error,codebarre vacio,"{'Articulo': 'ADAPTADOR DVI A VGA        Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '25'}"
383,error,codebarre vacio,"{'Articulo': 'PAPEL A3D  SATURA  33*48  MATE  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '350'}"
384,error,codebarre vacio,"{'Articulo': 'Reproductor DVD  LG    DP547  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '300'}"
419,error,codebarre vacio,"{'Articulo': 'Reproductor DVD  LG    DP132  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '280'}"
472,error,codebarre vacio,"{'Articulo': 'Dvds  CURSOR  4.7GB    Und.', 'cantidad': '5027', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '1.5'}"
475,error,codebarre vacio,"{'Articulo': 'Adaptador MHL      UNIVERSAL  Pza.', 'cantidad': '3', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '65'}"
476,error,codebarre vacio,"{'Articulo': 'Parlante   MUSKY    DY-28  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '250'}"
496,error,codebarre vacio,"{'Articulo': 'Mochila PLOMO        Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '260'}"
497,error,codebarre vacio,"{'Articulo': 'tapa para lente   nikon    52MM  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '41'}"
498,error,codebarre vacio,"{'Articulo': 'RELOJ  Casio    IQ-59ADF/1BDF  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': '-2316', 'Precio_Venta': '120'}"
579,error,codebarre vacio,"{'Articulo': 'TINTA  JHOROMI  1/2 LITRO  NEGRO  Pza.', 'cantidad': '6', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '78'}"
580,error,codebarre vacio,"{'Articulo': 'TINTA  JHOROMI  1/2 LITRO  CIAN  Pza.', 'cantidad': '6', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '78'}"
597,error,codebarre vacio,"{'Articulo': 'CORTAPELO  WAHL  CORDER CLIPPER  DESIGNER  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '465'}"
600,error,codebarre vacio,"{'Articulo': 'PARLANTE  GENIUS    SW 2.1 385  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '350'}"
602,error,codebarre vacio,"{'Articulo': 'Bateria  Canon    BP-808 SL  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '210'}"
603,error,codebarre vacio,"{'Articulo': 'Cargador bateria  Canon    NB-13L  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '150'}"
605,error,codebarre vacio,"{'Articulo': 'AUDIFONO  SONY    XB450  Pza.', 'cantidad': '3', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '135'}"
609,error,codebarre vacio,"{'Articulo': 'Mando copia PS4  SONY      Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '380'}"
613,error,codebarre vacio,"{'Articulo': 'ARO LED      LIVE STREAM  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '100'}"
614,error,codebarre vacio,"{'Articulo': 'ARO LED  SELFIE RING    AL-16  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '110'}"
615,error,codebarre vacio,"{'Articulo': 'ARO LED  RING FILL LIGHT  12´´  CON PEDESTAL  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '180'}"
618,error,codebarre vacio,"{'Articulo': 'Salteñera   sencilla    ECONOMICA  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '150'}"
619,error,codebarre vacio,"{'Articulo': 'Tripode de mesa colores        Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '50'}"
628,error,codebarre vacio,"{'Articulo': 'AUDIFONO   SAMSUNG  CONTESTADOR/VOLUMEN  EO-EG920BW  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '60'}"
632,error,codebarre vacio,"{'Articulo': 'ESTUCHE PARA DISCO DURO        Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '40'}"
654,error,codebarre vacio,"{'Articulo': 'CARGADOR BATERIA  NIKON    EN-EL20A-MH-27  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '151'}"
657,error,codebarre vacio,"{'Articulo': 'Cable RCA PARA DVD    1,8 mt  GENERICO  Pza.', 'cantidad': '15', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '15'}"
658,error,codebarre vacio,"{'Articulo': 'Cable AUXILIAR A USB  hembra    GENERICO  Pza.', 'cantidad': '4', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '15'}"
673,error,codebarre vacio,"{'Articulo': 'SOPORTE PARA AUTO      HJ-ZL-42  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '20'}"
678,error,codebarre vacio,"{'Articulo': 'SUJETADOR DE MANO      CAMERA GRIP  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '80'}"
679,error,codebarre vacio,"{'Articulo': 'SUJETADOR DE MUÑECA      CAMERA GRIP  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '100'}"
704,error,codebarre vacio,"{'Articulo': 'Cargador bateria   NIKON    MH-27/EN-EL20  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '150'}"
706,error,codebarre vacio,"{'Articulo': 'Tapa para lente    55mm  SIN MARCO  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '40'}"
823,error,cantidad vacio,"{'Articulo': 'LED-336    20W    Pza.', 'cantidad': nan, 'codebarre': '4607117465881', 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': '1200'}"
849,error,Articulo vacio,"{'Articulo': nan, 'cantidad': nan, 'codebarre': nan, 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': nan}"
854,error,codebarre vacio,"{'Articulo': 'Adaptador HDMI a display port', 'cantidad': nan, 'codebarre': nan, 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': '30'}"
855,error,codebarre vacio,"{'Articulo': 'Adaptador HDMI a display port', 'cantidad': nan, 'codebarre': nan, 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': '30'}"
868,error,codebarre vacio,"{'Articulo': 'QUEMADOR LECTOR INTERNO RW', 'cantidad': nan, 'codebarre': nan, 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': '189'}"
914,error,cantidad vacio,"{'Articulo': 'AUDIFONO BLOUTOO  EWTTO FUTBOL Pza.', 'cantidad': nan, 'codebarre': '6925871647939', 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '90'}"
4,warning,cantidad negativa -90; se cargo como 0,"{'Articulo': 'Bolsa CD BELEN 100 CD Pza.', 'codebarre': 'BOLSACD'}"
8,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'Telefono Panasonic dual KXTGB212 Pza.', 'codebarre': '5025232766758'}"
10,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'Telefono Panasonic pantalla TS880MX Pza.', 'codebarre': 'KX-TS880MXW'}"
46,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'Calculadora HP COLORES PRIME Pza.', 'codebarre': '888182912348'}"
48,warning,cantidad negativa -10; se cargo como 0,"{'Articulo': 'Flash Memory HP 32GB 32GB Pza.', 'codebarre': 'FLASHHP32GB'}"
